Temperature [°C],Mole fraction of liquid,Mole percent of Ag in FCC_A1,Mole percent of Ag in HCP_A3,Molar volume of LIQUID,Mole percent of Ag in LIQUID,Temperature [K],Temp (cels),Solid comp. (at% Ag),Mole frac. Liquid,Liquid comp. (at% Ag),k,V_m liq.,V frac liq,V_m FCC,V frac sol,VmL-VmS,delta V norm by VL
624.999,0.802050841,4.449043717,,1.12206E-05,11.43315314,898.149,624.999,4.472608361,0.794248704,11.5015867,0.388868812,1.12198E-05,0.795434827,1.0524E-05,0.203895171,6.95816E-07,0.062016631
624.899,0.798134262,4.460824876,,1.12202E-05,11.46736753,898.049,624.899,4.484394231,0.79039383,11.53581065,0.38873681,1.12195E-05,0.791600573,1.05239E-05,0.207717736,6.95567E-07,0.061996511
624.799,0.794248704,4.472608361,,1.12198E-05,11.5015867,897.949,624.799,4.496182549,0.786569305,11.57003934,0.388605641,1.12191E-05,0.787796448,1.05238E-05,0.211510315,6.95318E-07,0.061976404
624.699,0.79039383,4.484394231,,1.12195E-05,11.53581065,897.849,624.699,4.507973375,0.782774799,11.60427275,0.388475303,1.12187E-05,0.784022124,1.05236E-05,0.215273235,6.9507E-07,0.06195631
624.599,0.786569305,4.496182549,,1.12191E-05,11.57003934,897.749,624.599,4.51976677,0.779009987,11.63851086,0.388345797,1.12183E-05,0.78027728,1.05235E-05,0.219006817,6.94821E-07,0.061936228
624.499,0.782774799,4.507973375,,1.12187E-05,11.60427275,897.649,624.499,4.531562795,0.775274549,11.67275365,0.388217119,1.1218E-05,0.776561597,1.05234E-05,0.222711376,6.94573E-07,0.061916159
624.399,0.779009987,4.51976677,,1.12183E-05,11.63851086,897.549,624.399,4.543361512,0.771568168,11.7070011,0.38808927,1.12176E-05,0.772874761,1.05233E-05,0.226387226,6.94325E-07,0.061896102
624.299,0.775274549,4.531562795,,1.1218E-05,11.67275365,897.449,624.299,4.555162982,0.767890532,11.74125319,0.387962248,1.12172E-05,0.769216462,1.05231E-05,0.230034676,6.94077E-07,0.061876058
624.199,0.771568168,4.543361512,,1.12176E-05,11.7070011,897.349,624.199,4.566967267,0.764241333,11.7755099,0.387836052,1.12168E-05,0.765586397,1.0523E-05,0.233654028,6.93829E-07,0.061856026
624.099,0.767890532,4.555162982,,1.12172E-05,11.74125319,897.249,624.099,4.578774428,0.760620269,11.80977121,0.38771068,1.12165E-05,0.761984262,1.05229E-05,0.237245583,6.93582E-07,0.061836007
623.999,0.764241333,4.566967267,,1.12168E-05,11.7755099,897.149,623.999,4.590584527,0.757027038,11.8440371,0.387586132,1.12161E-05,0.758409761,1.05228E-05,0.240809637,6.93334E-07,0.061816
623.899,0.760620269,4.578774428,,1.12165E-05,11.80977121,897.049,623.899,4.602397626,0.753461345,11.87830755,0.387462406,1.12157E-05,0.754862601,1.05226E-05,0.244346482,6.93087E-07,0.061796007
623.799,0.757027038,4.590584527,,1.12161E-05,11.8440371,896.949,623.799,4.614213788,0.749922899,11.91258255,0.387339502,1.12154E-05,0.751342492,1.05225E-05,0.247856406,6.9284E-07,0.061776026
